route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
1,Tsawwassen,Swartz Bay,2017,03,15,09,00,Spirit of Vancouver Island,92
8,Horseshoe Bay,Bowen Island,2017,04,05,12,00,Queen of Capilano,22
30,Tsawwassen,Duke Point,2017,03,30,05,15,Queen of Alberni,123
2,Departure Bay,Horseshoe Bay,2017,04,07,19,00,Queen of Cowichan,116
30,Tsawwassen,Duke Point,2017,04,10,22,45,Coastal Inspiration,124
30,Tsawwassen,Duke Point,2017,02,16,12,45,Coastal Inspiration,115
3,Horseshoe Bay,Langdale,2017,03,12,16,50,Queen of Coquitlam,38
2,Horseshoe Bay,Departure Bay,2017,04,12,19,00,Queen of Oak Bay,110
1,Tsawwassen,Swartz Bay,2017,03,22,07,00,Spirit of British Columbia,92
8,Horseshoe Bay,Bowen Island,2017,02,27,09,00,Queen of Capilano,26
2,Departure Bay,Horseshoe Bay,2017,04,26,21,00,Queen of Coquitlam,108
1,Swartz Bay,Tsawwassen,2017,04,05,13,00,Spirit of British Columbia,101
1,Swartz Bay,Tsawwassen,2017,03,17,21,00,Spirit of British Columbia,88
8,Horseshoe Bay,Bowen Island,2017,02,21,14,25,Queen of Capilano,17
30,Duke Point,Tsawwassen,2017,02,25,07,45,Queen of Alberni,121
2,Departure Bay,Horseshoe Bay,2017,04,13,14,00,Queen of Cowichan,100
4,Swartz Bay,Fulford Harbour,2017,04,26,13,00,Skeena Queen,34
30,Duke Point,Tsawwassen,2017,02,01,22,45,Queen of New Westminster,124
2,Departure Bay,Horseshoe Bay,2017,03,13,19,00,Queen of Cowichan,96
3,Horseshoe Bay,Langdale,2017,03,12,15,50,Queen of Surrey,36
4,Swartz Bay,Fulford Harbour,2017,04,08,19,00,Skeena Queen,36
3,Langdale,Horseshoe Bay,2017,02,21,06,20,Queen of Surrey,40
2,Horseshoe Bay,Departure Bay,2017,02,14,12,30,Queen of Cowichan,104
2,Departure Bay,Horseshoe Bay,2017,04,09,17,00,Queen of Oak Bay,108
4,Swartz Bay,Fulford Harbour,2017,04,30,13,00,Skeena Queen,26
2,Horseshoe Bay,Departure Bay,2017,04,13,08,30,Coastal Renaissance,98
3,Horseshoe Bay,Langdale,2017,02,02,13,35,Queen of Surrey,40
1,Tsawwassen,Swartz Bay,2017,03,21,13,00,Spirit of Vancouver Island,98
3,Horseshoe Bay,Langdale,2017,02,05,21,45,Queen of Surrey,42
2,Departure Bay,Horseshoe Bay,2017,02,06,10,30,Queen of Cowichan,100
1,Tsawwassen,Swartz Bay,2017,03,08,13,00,Coastal Celebration,92
3,Horseshoe Bay,Langdale,2017,03,19,21,45,Queen of Coquitlam,79
8,Horseshoe Bay,Bowen Island,2017,03,31,09,00,Queen of Capilano,24
30,Tsawwassen,Duke Point,2017,03,22,12,45,Coastal Inspiration,120
3,Horseshoe Bay,Langdale,2017,02,21,10,25,Queen of Coquitlam,37
3,Horseshoe Bay,Langdale,2017,03,09,07,20,Queen of Surrey,38
3,Horseshoe Bay,Langdale,2017,03,13,16,50,Queen of Coquitlam,38
4,Swartz Bay,Fulford Harbour,2017,04,24,09,00,Skeena Queen,28
3,Horseshoe Bay,Langdale,2017,02,05,07,20,Queen of Surrey,40
1,Swartz Bay,Tsawwassen,2017,03,21,07,00,Spirit of Vancouver Island,88
1,Tsawwassen,Swartz Bay,2017,04,21,10,00,Coastal Celebration,90
2,Departure Bay,Horseshoe Bay,2017,04,08,12,30,Queen of Oak Bay,128
3,Langdale,Horseshoe Bay,2017,04,18,14,45,Queen of Surrey,93
8,Horseshoe Bay,Bowen Island,2017,03,11,10,00,Queen of Capilano,20
2,Departure Bay,Horseshoe Bay,2017,04,15,10,30,Coastal Renaissance,106
2,Departure Bay,Horseshoe Bay,2017,04,05,21,00,Queen of Oak Bay,100
30,Tsawwassen,Duke Point,2017,03,25,17,45,Coastal Inspiration,129
3,Langdale,Horseshoe Bay,2017,03,07,13,35,Queen of Coquitlam,35
3,Langdale,Horseshoe Bay,2017,03,26,14,45,Queen of Coquitlam,55
